Scientific (AviList),English (AviList)
Callipepla squamata,Scaled Quail
Callipepla squamata pallida,
Callipepla squamata hargravei,
Callipepla squamata castanogastris,
Callipepla squamata squamata,
Callipepla douglasii,Elegant Quail
Callipepla douglasii douglasii,
Callipepla douglasii bensoni,
Callipepla douglasii impedita,
Callipepla douglasii teres,
Callipepla douglasii vanderbilti,
Cyrtonyx,
Cyrtonyx ocellatus,Ocellated Quail
Cyrtonyx montezumae,Montezuma Quail
Cyrtonyx montezumae mearnsi,
Cyrtonyx montezumae montezumae,
Cyrtonyx montezumae rowleyi,
Cyrtonyx montezumae sallei,
Dactylortyx,
Dactylortyx thoracicus,Singing Quail
Dactylortyx thoracicus pettingilli,
Dactylortyx thoracicus thoracicus,
Dactylortyx thoracicus sharpei,
Dactylortyx thoracicus paynteri,
Dactylortyx thoracicus devius,
Dactylortyx thoracicus melodus,
Dactylortyx thoracicus chiapensis,
Dactylortyx thoracicus dolichonyx,
Dactylortyx thoracicus salvadoranus,
Dactylortyx thoracicus fuscus,
Dactylortyx thoracicus conoveri,
Odontophorus,
Odontophorus gujanensis,Marbled Wood Quail
Odontophorus gujanensis castigatus,
Odontophorus gujanensis marmoratus,
Odontophorus gujanensis medius,
Odontophorus gujanensis gujanensis,
Odontophorus gujanensis buckleyi,
Odontophorus gujanensis rufogularis,
Odontophorus gujanensis pachyrhynchus,
Odontophorus gujanensis simonsi,
Odontophorus capueira,Spot-winged Wood Quail
Odontophorus melanotis,Black-eared Wood Quail
Odontophorus melanotis verecundus,
Odontophorus melanotis melanotis,
Odontophorus atrifrons,Black-fronted Wood Quail
Odontophorus atrifrons atrifrons,
Odontophorus atrifrons variegatus,
Odontophorus atrifrons navai,
Odontophorus erythrops,Rufous-fronted Wood Quail
Odontophorus erythrops parambae,
Odontophorus erythrops erythrops,
Odontophorus hyperythrus,Chestnut Wood Quail
Odontophorus melanonotus,Dark-backed Wood Quail
Odontophorus speciosus,Rufous-breasted Wood Quail
Odontophorus speciosus soderstromii,
Odontophorus speciosus speciosus,
Odontophorus speciosus loricatus,
Odontophorus dialeucos,Tacarcuna Wood Quail
Odontophorus strophium,Gorgeted Wood Quail
Odontophorus columbianus,Venezuelan Wood Quail
Odontophorus leucolaemus,Black-breasted Wood Quail
Odontophorus balliviani,Stripe-faced Wood Quail
Odontophorus stellatus,Starred Wood Quail
Odontophorus guttatus,Spotted Wood Quail
Phasianidae,
Xenoperdix,
Xenoperdix udzungwensis,Udzungwa Forest Partridge
Xenoperdix udzungwensis udzungwensis,
Xenoperdix udzungwensis obscuratus,
Caloperdix,
Caloperdix oculeus,Ferruginous Partridge
Caloperdix oculeus oculeus,
Caloperdix oculeus ocellatus,
Caloperdix oculeus borneensis,
Rollulus,
Rollulus rouloul,Crested Partridge
Melanoperdix,
Melanoperdix niger,Black Partridge
Melanoperdix niger niger,
Melanoperdix niger borneensis,
Arborophila,
Arborophila torqueola,Hill Partridge
Arborophila torqueola millardi,
Arborophila torqueola torqueola,
Arborophila torqueola interstincta,
Arborophila torqueola batemani,
Arborophila torqueola griseata,
Arborophila rufipectus,Sichuan Partridge
Arborophila mandellii,Chestnut-breasted Partridge
Arborophila gingica,White-necklaced Partridge
Arborophila gingica gingica,
Arborophila gingica guangxiensis,
Arborophila rufogularis,Rufous-throated Partridge
Arborophila rufogularis rufogularis,
Arborophila rufogularis intermedia,
Arborophila rufogularis tickelli,
Arborophila rufogularis euroa,
Arborophila rufogularis guttata,
Arborophila rufogularis annamensis,
Arborophila rubrirostris,Red-billed Partridge
Arborophila cambodiana,Chestnut-headed Partridge
Arborophila cambodiana diversa,
Arborophila cambodiana cambodiana,
Arborophila cambodiana chandamonyi,
Arborophila ardens,Hainan Partridge
Arborophila crudigularis,Taiwan Partridge
Arborophila atrogularis,White-cheeked Partridge
Arborophila brunneopectus,Bar-backed Partridge
Arborophila brunneopectus brunneopectus,
Arborophila brunneopectus henrici,
Arborophila brunneopectus albigula,
Arborophila davidi,Orange-necked Partridge
Arborophila hyperythra,Red-breasted Partridge
Arborophila campbelli,Malayan Partridge
Arborophila rolli,Roll's Partridge
Arborophila sumatrana,Sumatran Partridge
Arborophila javanica,Chestnut-bellied Partridge
Arborophila javanica javanica,
Arborophila javanica lawuana,
Arborophila orientalis,Grey-breasted Partridge
Lerwa,
Lerwa lerwa,Snow Partridge
Ithaginis,
Ithaginis cruentus,Blood Pheasant
Ithaginis cruentus cruentus,
Ithaginis cruentus affinis,
Ithaginis cruentus tibetanus,
Ithaginis cruentus kuseri,
Ithaginis cruentus marionae,
Ithaginis cruentus rocki,
Ithaginis cruentus clarkei,
Ithaginis cruentus geoffroyi,
Ithaginis cruentus berezowskii,
Ithaginis cruentus beicki,
Ithaginis cruentus michaelis,
Ithaginis cruentus sinensis,
Tragopan,
Tragopan melanocephalus,Western Tragopan
Tragopan satyra,Satyr Tragopan
Tragopan blythii,Blyth's Tragopan
Tragopan blythii molesworthi,
Tragopan blythii blythii,
Tragopan temminckii,Temminck's Tragopan
Tragopan caboti,Cabot's Tragopan
Tragopan caboti caboti,
Tragopan caboti guangxiensis,
Tetraophasis,
Tetraophasis obscurus,Chestnut-throated Monal-Partridge
Tetraophasis szechenyii,Buff-throated Monal-Partridge
Lophophorus,
Lophophorus impejanus,Himalayan Monal
Lophophorus sclateri,Sclater's Monal
Lophophorus sclateri arunachalensis,
Lophophorus sclateri sclateri,
Lophophorus sclateri orientalis,
Lophophorus lhuysii,Chinese Monal
Rhizothera,
Rhizothera longirostris,Long-billed Partridge
Rhizothera dulitensis,Dulit Partridge
Pucrasia,
Pucrasia macrolopha,Koklass Pheasant
Pucrasia macrolopha castanea,
Pucrasia macrolopha biddulphi,
Pucrasia macrolopha macrolopha,
Pucrasia macrolopha nipalensis,
Pucrasia macrolopha meyeri,
Pucrasia macrolopha ruficollis,
Pucrasia macrolopha xanthospila,
Pucrasia macrolopha joretiana,
Pucrasia macrolopha darwini,
Meleagris,
Meleagris ocellata,Ocellated Turkey
Meleagris gallopavo,Wild Turkey
Meleagris gallopavo silvestris,
Meleagris gallopavo osceola,
Meleagris gallopavo intermedia,
Meleagris gallopavo mexicana,
Meleagris gallopavo merriami,
Meleagris gallopavo gallopavo,
Bonasa,
Bonasa umbellus,Ruffed Grouse
Bonasa umbellus yukonensis,
Bonasa umbellus umbelloides,
Bonasa umbellus labradorensis,
Bonasa umbellus castanea,
Bonasa umbellus obscura,
Bonasa umbellus sabini,
Bonasa umbellus brunnescens,
Bonasa umbellus togata,
Bonasa umbellus mediana,
Bonasa umbellus phaios,
Bonasa umbellus incana,
Bonasa umbellus monticola,
Bonasa umbellus umbellus,
Tetrastes,
Tetrastes sewerzowi,Chinese Grouse
Tetrastes sewerzowi sewerzowi,
Tetrastes sewerzowi secundus,
Tetrastes bonasia,Hazel Grouse
Tetrastes bonasia rhenanus,
Tetrastes bonasia styriacus,
Tetrastes bonasia schiebeli,
Tetrastes bonasia rupestris,
Tetrastes bonasia bonasia,
Tetrastes bonasia griseonota,
Tetrastes bonasia sibiricus,
Tetrastes bonasia kolymensis,
Tetrastes bonasia amurensis,
Tetrastes bonasia yamashinai,
Tetrastes bonasia vicinitas,
Centrocercus,
Centrocercus urophasianus,Sage Grouse
Centrocercus minimus,Gunnison Grouse
Dendragapus,
Dendragapus fuliginosus,Sooty Grouse
Dendragapus fuliginosus sitkensis,
Dendragapus fuliginosus fuliginosus,
Dendragapus fuliginosus sierrae,
Dendragapus fuliginosus howardi,
Dendragapus obscurus,Dusky Grouse
Dendragapus obscurus richardsonii,
Dendragapus obscurus pallidus,
Dendragapus obscurus oreinus,
Dendragapus obscurus obscurus,
Tympanuchus,
Tympanuchus phasianellus,Sharp-tailed Grouse
Tympanuchus phasianellus caurus,
Tympanuchus phasianellus kennicotti,
Tympanuchus phasianellus phasianellus,
Tympanuchus phasianellus columbianus,
Tympanuchus phasianellus hueyi,
Tympanuchus phasianellus jamesi,
Tympanuchus phasianellus campestris,
Tympanuchus cupido,Greater Prairie Chicken
Tympanuchus cupido pinnatus,
Tympanuchus cupido attwateri,
Tympanuchus cupido cupido,
Tympanuchus pallidicinctus,Lesser Prairie Chicken
Lagopus,
Lagopus leucura,White-tailed Ptarmigan
Lagopus leucura peninsularis,
Lagopus leucura leucura,
Lagopus leucura rainierensis,
Lagopus leucura saxatilis,
Lagopus leucura altipetens,
Lagopus muta,Rock Ptarmigan
Lagopus muta muta,
Lagopus muta millaisi,
Lagopus muta helvetica,
Lagopus muta pyrenaica,
Lagopus muta pleskei,
Lagopus muta nadezdae,
Lagopus muta gerasimovi,
Lagopus muta ridgwayi,
Lagopus muta kurilensis,
Lagopus muta japonica,
Lagopus muta evermanni,
Lagopus muta townsendi,
Lagopus muta atkhensis,
Lagopus muta yunaskensis,
Lagopus muta nelsoni,
Lagopus muta dixoni,
Lagopus muta rupestris,
Lagopus muta welchi,
Lagopus muta saturata,
Lagopus muta macruros,
Lagopus muta reinhardi,
Lagopus muta hyperborea,
Lagopus muta islandorum,
Lagopus scotica,Red Grouse
Lagopus lagopus,Willow Ptarmigan
Lagopus lagopus variegata,
Lagopus lagopus lagopus,
Lagopus lagopus rossica,
Lagopus lagopus koreni,
Lagopus lagopus maior,
Lagopus lagopus brevirostris,
Lagopus lagopus kozlowae,
Lagopus lagopus sserebrowsky,
Lagopus lagopus okadai,
Lagopus lagopus alascensis,
Lagopus lagopus alexandrae,
Lagopus lagopus leucoptera,
Lagopus lagopus alba,
Lagopus lagopus ungavus,
Lagopus lagopus alleni,
Falcipennis,
Falcipennis falcipennis,Siberian Grouse
Canachites,
Canachites canadensis,Spruce Grouse
Canachites canadensis osgoodi,
Canachites canadensis atratus,
Canachites canadensis canadensis,
Canachites canadensis canace,
Canachites canadensis isleibi,
Canachites canadensis franklinii,
Tetrao,
Tetrao urogalloides,Black-billed Capercaillie
Tetrao urogalloides urogalloides,
Tetrao urogalloides kamtschaticus,
Tetrao urogallus,Western Capercaillie
Tetrao urogallus cantabricus,
Tetrao urogallus aquitanicus,
Tetrao urogallus crassirostris,
Tetrao urogallus volgensis,
Tetrao urogallus urogallus,
Tetrao urogallus kureikensis,
Tetrao urogallus uralensis,
Tetrao urogallus taczanowskii,
Lyrurus,
Lyrurus mlokosiewiczi,Caucasian Grouse
Lyrurus tetrix,Black Grouse
Lyrurus tetrix britannicus,
Lyrurus tetrix tetrix,
Lyrurus tetrix viridanus,
Lyrurus tetrix baikalensis,
Lyrurus tetrix mongolicus,
Lyrurus tetrix ussuriensis,
Perdix,
Perdix hodgsoniae,Tibetan Partridge
Perdix hodgsoniae caraganae,
Perdix hodgsoniae hodgsoniae,
Perdix hodgsoniae sifanica,
Perdix dauurica,Daurian Partridge
Perdix dauurica dauurica,
Perdix dauurica suschkini,
Perdix perdix,Grey Partridge
Perdix perdix perdix,
Perdix perdix armoricana,
Perdix perdix sphagnetorum,
Perdix perdix hispaniensis,
Perdix perdix italica,
Perdix perdix lucida,
Perdix perdix canescens,
Perdix perdix robusta,
Syrmaticus,
Syrmaticus soemmerringii,Copper Pheasant
Syrmaticus soemmerringii scintillans,
Syrmaticus soemmerringii subrufus,
Syrmaticus soemmerringii intermedius,
Syrmaticus soemmerringii soemmerringii,
Syrmaticus soemmerringii ijimae,
Syrmaticus reevesii,Reeves's Pheasant
Syrmaticus mikado,Mikado Pheasant
Syrmaticus ellioti,Elliot's Pheasant
Syrmaticus humiae,Mrs. Hume's Pheasant
Syrmaticus humiae humiae,
Syrmaticus humiae burmanicus,
Chrysolophus,
Chrysolophus pictus,Golden Pheasant
Chrysolophus amherstiae,Lady Amherst's Pheasant
Phasianus,
Phasianus versicolor,Green Pheasant
Phasianus versicolor robustipes,
Phasianus versicolor tohkaidi,
Phasianus versicolor tanensis,
Phasianus versicolor versicolor,
Phasianus colchicus,Common Pheasant
Phasianus colchicus septentrionalis,
Phasianus colchicus colchicus,
Phasianus colchicus talischensis,
Phasianus colchicus persicus,
Phasianus colchicus principalis,
Phasianus colchicus chrysomelas,
Phasianus colchicus zarudnyi,
Phasianus colchicus bianchii,
Phasianus colchicus zerafschanicus,
Phasianus colchicus turcestanicus,
Phasianus colchicus mongolicus,
Phasianus colchicus shawii,
Phasianus colchicus tarimensis,
Phasianus colchicus vlangalii,
Phasianus colchicus strauchi,
Phasianus colchicus sohokhotensis,
Phasianus colchicus satscheuensis,
Phasianus colchicus hagenbecki,
Phasianus colchicus edzinensis,
Phasianus colchicus alaschanicus,
Phasianus colchicus kiangsuensis,
Phasianus colchicus karpowi,
Phasianus colchicus pallasi,
Phasianus colchicus suehschanensis,
Phasianus colchicus elegans,
Phasianus colchicus decollatus,
Phasianus colchicus rothschildi,
Phasianus colchicus takatsukasae,
Phasianus colchicus torquatus,
Phasianus colchicus formosanus,
Catreus,
Catreus wallichii,Cheer Pheasant
Crossoptilon,
Crossoptilon harmani,Tibetan Eared Pheasant
Crossoptilon crossoptilon,White Eared Pheasant
Crossoptilon crossoptilon dolani,
Crossoptilon crossoptilon crossoptilon,
Crossoptilon crossoptilon lichiangense,
Crossoptilon crossoptilon drouynii,
Crossoptilon mantchuricum,Brown Eared Pheasant
Crossoptilon auritum,Blue Eared Pheasant
Lophura,
Lophura edwardsi,Edwards's Pheasant
Lophura swinhoii,Swinhoe's Pheasant
Lophura bulweri,Bulwer's Pheasant
Lophura leucomelanos,Kalij Pheasant
Lophura leucomelanos hamiltonii,
Lophura leucomelanos leucomelanos,
Lophura leucomelanos melanota,
Lophura leucomelanos moffitti,
Lophura leucomelanos lathami,
Lophura leucomelanos williamsi,
Lophura leucomelanos oatesi,
Lophura leucomelanos lineata,
Lophura leucomelanos crawfurdii,
Lophura nycthemera,Silver Pheasant
Lophura nycthemera omeiensis,
Lophura nycthemera rongjiangensis,
Lophura nycthemera nycthemera,
Lophura nycthemera fokiensis,
Lophura nycthemera whiteheadi,
Lophura nycthemera occidentalis,
Lophura nycthemera rufipes,
Lophura nycthemera jonesi,
Lophura nycthemera ripponi,
Lophura nycthemera beaulieui,
Lophura nycthemera berliozi,
Lophura nycthemera beli,
Lophura nycthemera annamensis,
Lophura nycthemera lewisi,
Lophura nycthemera engelbachi,
Lophura erythrophthalma,Malayan Crestless Fireback
Lophura pyronota,Bornean Crestless Fireback
Lophura diardi,Siamese Fireback
Lophura inornata,Salvadori's Pheasant
Lophura inornata inornata,
Lophura inornata hoogerwerfi,
Lophura rufa,Malayan Crested Fireback
Lophura ignita,Bornean Crested Fireback
Lophura ignita nobilis,
Lophura ignita ignita,
Argusianus,
Argusianus argus,Great Argus
Argusianus argus grayi,
Argusianus argus argus,
Rheinardia,
Rheinardia ocellata,Vietnamese Crested Argus
Rheinardia nigrescens,Malayan Crested Argus
Afropavo,
Afropavo congensis,Congo Peafowl
Pavo,
Pavo cristatus,Indian Peafowl
Pavo muticus,Green Peafowl
Pavo muticus spicifer,
Pavo muticus imperator,
Pavo muticus muticus,
Tropicoperdix,
Tropicoperdix chloropus,Green-legged Partridge
Tropicoperdix chloropus chloropus,
Tropicoperdix chloropus cognacqi,
Tropicoperdix chloropus merlini,
Tropicoperdix chloropus vivida,
Tropicoperdix chloropus peninsularis,
Tropicoperdix chloropus olivacea,
Tropicoperdix chloropus tonkinensis,
Tropicoperdix charltonii,Chestnut-necklaced Partridge
Tropicoperdix charltonii charltonii,
Tropicoperdix charltonii atjenensis,
Tropicoperdix graydoni,Sabah Partridge
Haematortyx,
Haematortyx sanguiniceps,Crimson-headed Partridge
Galloperdix,
Galloperdix spadicea,Red Spurfowl
Galloperdix spadicea spadicea,
Galloperdix spadicea caurina,
Galloperdix spadicea stewarti,
Galloperdix lunulata,Painted Spurfowl
Galloperdix bicalcarata,Sri Lanka Spurfowl
Polyplectron,
Polyplectron napoleonis,Palawan Peacock-Pheasant
Polyplectron schleiermacheri,Bornean Peacock-Pheasant
Polyplectron malacense,Malayan Peacock-Pheasant
Polyplectron germaini,Germain's Peacock-Pheasant
Polyplectron katsumatae,Hainan Peacock-Pheasant
Polyplectron bicalcaratum,Grey Peacock-Pheasant
Polyplectron inopinatum,Mountain Peacock-Pheasant
Polyplectron chalcurum,Sumatran Peacock-Pheasant
Polyplectron chalcurum scutulatum,
Polyplectron chalcurum chalcurum,
Bambusicola,
Bambusicola fytchii,Mountain Bamboo Partridge
Bambusicola fytchii fytchii,
Bambusicola fytchii hopkinsoni,
Bambusicola thoracicus,Chinese Bamboo Partridge
Bambusicola sonorivox,Taiwan Bamboo Partridge
Gallus,
Gallus varius,Green Junglefowl
Gallus gallus,Red Junglefowl
Gallus gallus murghi,
Gallus gallus spadiceus,
Gallus gallus jabouillei,
Gallus gallus gallus,
Gallus gallus bankiva,
Gallus sonneratii,Grey Junglefowl
Gallus lafayettii,Sri Lanka Junglefowl
Peliperdix,
Peliperdix lathami,Latham's Francolin
Peliperdix lathami lathami,
Peliperdix lathami schubotzi,
Campocolinus,
Campocolinus coqui,Coqui Francolin
Campocolinus coqui spinetorum,
Campocolinus coqui maharao,
Campocolinus coqui hubbardi,
Campocolinus coqui coqui,
Campocolinus albogularis,White-throated Francolin
Campocolinus albogularis albogularis,
Campocolinus albogularis buckleyi,
Campocolinus albogularis dewittei,
Campocolinus schlegelii,Schlegel's Francolin
Scleroptila,
Scleroptila streptophora,Ring-necked Francolin
Scleroptila levaillantii,Red-winged Francolin
Scleroptila levaillantii kikuyuensis,
Scleroptila levaillantii crawshayi,
Scleroptila levaillantii levaillantii,
Scleroptila finschi,Finsch's Francolin
Scleroptila psilolaema,Moorland Francolin
Scleroptila elgonensis,Elgon Francolin
Scleroptila afra,Grey-winged Francolin
Scleroptila gutturalis,Orange River Francolin
Scleroptila gutturalis gutturalis,
Scleroptila gutturalis archeri,
Scleroptila gutturalis lorti,
Scleroptila gutturalis jugularis,
Scleroptila gutturalis pallidior,
Scleroptila gutturalis levalliantoides,
Scleroptila shelleyi,Shelley's Francolin
Scleroptila shelleyi uluensis,
Scleroptila shelleyi macarthuri,
Scleroptila shelleyi shelleyi,
Scleroptila whytei,Whyte's Francolin
Ortygornis,
Ortygornis sephaena,Crested Francolin
Ortygornis sephaena grantii,
Ortygornis sephaena rovuma,
Ortygornis sephaena spilogaster,
Ortygornis sephaena zambesiae,
Ortygornis sephaena sephaena,
Ortygornis gularis,Swamp Francolin
Ortygornis pondicerianus,Grey Francolin
Ortygornis pondicerianus mecranensis,
Ortygornis pondicerianus interpositus,
Ortygornis pondicerianus pondicerianus,
Francolinus,
Francolinus pintadeanus,Chinese Francolin
Francolinus pintadeanus phayrei,
Francolinus pintadeanus pintadeanus,
Francolinus pictus,Painted Francolin
Francolinus pictus pallidus,
Francolinus pictus pictus,
Francolinus pictus watsoni,
Francolinus francolinus,Black Francolin
Francolinus francolinus francolinus,
Francolinus francolinus arabistanicus,
Francolinus francolinus bogdanovi,
Francolinus francolinus henrici,
Francolinus francolinus asiae,
Francolinus francolinus melanonotus,
Tetraogallus,
Tetraogallus tibetanus,Tibetan Snowcock
Tetraogallus tibetanus tschimenensis,
Tetraogallus tibetanus tibetanus,
Tetraogallus tibetanus aquilonifer,
Tetraogallus tibetanus yunnanensis,
Tetraogallus tibetanus henrici,
Tetraogallus tibetanus przewalskii,
Tetraogallus altaicus,Altai Snowcock
Tetraogallus caucasicus,Caucasian Snowcock
Tetraogallus caspius,Caspian Snowcock
Tetraogallus caspius tauricus,
Tetraogallus caspius caspius,
Tetraogallus caspius semenowtianschanskii,
Tetraogallus himalayensis,Himalayan Snowcock
Tetraogallus himalayensis sauricus,
Tetraogallus himalayensis sewerzowi,
Tetraogallus himalayensis incognitus,
Tetraogallus himalayensis himalayensis,
Tetraogallus himalayensis grombczewskii,
Tetraogallus himalayensis koslowi,
Ammoperdix,
Ammoperdix griseogularis,See-see Partridge
Ammoperdix heyi,Sand Partridge
